Ticker,Catatan,CIK,Basis,Periode_Lapkeu,Tanggal_Lapor,Form,Pendapatan,Pendapatan_Lalu,LabaKotor,EBIT,EBITDA,Laba,Laba_Lalu,BebanBunga,OCF,OCF_Lalu,Capex,Dividen,Buyback,Penerbitan,Aset,Aset_Awal,AsetLancar,LiabLancar,Ekuitas,Ekuitas_Awal,Kas,Goodwill,Intangible,LabaDitahan,Liabilitas,KasPlus,Utang,Tag_Utang,Saham,Tag_Saham,Tanggal_Saham,Dilusi_YoY,Tag_Pendapatan,Tag_Laba,Tag_OCF,ROA,ROE,Rev_YoY,Laba_YoY,Rev_CAGR3,EPS_CAGR3,Tag_Penyusutan,Tag_EBIT,OCF_Laba,OCF_Laba_Lalu,Akrual,ROA_Variabilitas5T,Goodwill_Ekuitas,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,ROIC,F_Score,F_Rincian,Nama_SEC,CIK_Pendahulu,GoingConcern,Restatement
LMT,,936468.0,TTM-4Q,2026-06-28,2026-07-23,10-Q,77014000000.0,71844000000.0,9086000000.0,9153000000.0,,6287000000.0,4204000000.0,1111000000.0,10402000000.0,5071000000.0,1673000000.0,3176000000.0,1750000000.0,0.0,62450000000.0,58870000000.0,28401000000.0,23809000000.0,8768000000.0,5334000000.0,3791000000.0,11298000000.0,1787000000.0,15759000000.0,53682000000.0,3791000000.0,20538000000.0,LongTermDebtNoncurrent+LongTermDebtCurrent+ShortTermBorrowings,230790753.0,dei:EntityCommonStockSharesOutstanding,2026-07-20,-1.3657703798548915,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.10364325750082426,0.8916465749539072,0.0719614720783921,0.4954804947668887,,,DepreciationAmortizationAndAccretionNet,OperatingIncomeLoss,1.654525210752346,1.206232159847764,-0.06783712495878667,1.6262470870670729,1.2885492700729928,0.11797854935466279,1.4786387266085474,,0.2755724717477201,9.0,ROA+ OCF+ dROA+ AKRUAL+ LEVERAGE+ CR+ SAHAM+ MARGIN+ ATO+,LOCKHEED MARTIN CORPORATION,,,
LNC,,59558.0,TTM-4Q,2026-06-30,2026-07-30,10-Q,19325000000.0,17908000000.0,,2836000000.0,,2359000000.0,1136000000.0,,-1328000000.0,936000000.0,,344000000.0,0.0,0.0,429797000000.0,399065000000.0,,,11349000000.0,9548000000.0,10165000000.0,1144000000.0,0.0,9322000000.0,418448000000.0,10165000000.0,6865000000.0,LongTermDebt+ShortTermBorrowings,191447336.0,dei:EntityCommonStockSharesOutstanding,2026-07-24,8.757306543621613,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.005692141755804947,0.22577403455041392,0.07912664730846553,1.0765845070422535,,,,LabaSebelumPajak+BebanBunga,,,,0.43406672607036023,0.10080183276059565,,,,,,,LINCOLN NATIONAL CORP,,,
LNN,,836157.0,TTM-4Q,2026-05-31,2026-07-02,10-Q,627856000.0,677807000.0,184988000.0,62457000.0,84693000.0,55202000.0,75976000.0,,94662000.0,121985000.0,49759000.0,15542000.0,89595000.0,0.0,821643000.0,840863000.0,480352000.0,163673000.0,499096000.0,528776000.0,154760000.0,84473000.0,22576000.0,778258000.0,322547000.0,154760000.0,115089000.0,LongTermDebt+ShortTermBorrowings,10168885.0,dei:EntityCommonStockSharesOutstanding,2026-06-30,-5.397493367486961,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.06640818138400703,0.10741026119983811,-0.07369501937867273,-0.27342845108981784,,,DepreciationAndAmortization,OperatingIncomeLoss,1.7148291728560559,1.605572812467095,-0.04747050536960468,1.028352819188582,0.16925200762979467,0.2946344384699676,2.588272361633415,-0.468409431712184,0.07648100145024665,4.0,ROA+ OCF+ dROA- AKRUAL+ LEVERAGE- CR- SAHAM+ MARGIN- ATO-,Lindsay Corporation,,,
LNT,,352541.0,TTM-4Q,2026-03-31,2026-05-01,10-Q,4419000000.0,4079000000.0,3792000000.0,1018000000.0,1875000000.0,821000000.0,745000000.0,534000000.0,1288000000.0,1109000000.0,,528000000.0,0.0,23000000.0,24813000000.0,22851000000.0,1224000000.0,1778000000.0,7422000000.0,7093000000.0,115000000.0,0.0,0.0,4330000000.0,17391000000.0,115000000.0,11440000000.0,LongTermDebtNoncurrent+LongTermDebtCurrent+ShortTermBorrowings,258277037.0,dei:EntityCommonStockSharesOutstanding,2026-03-31,0.6220839813374734,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.034449479691171535,0.11312435411643128,0.08335376317724941,0.10201342281879189,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,1.568818514007308,1.4885906040268457,-0.01959550184625713,0.19057739786168426,0.0,0.858112695179905,0.5688118059424251,6.04,0.05565274436912311,8.0,ROA+ OCF+ dROA+ AKRUAL+ LEVERAGE+ CR+ SAHAM- MARGIN+ ATO+,ALLIANT ENERGY CORP,,,
LNTH,,1521036.0,TTM-4Q,2026-06-30,2026-08-06,10-Q,1556313000.0,1520653000.0,936018000.0,302340000.0,390846000.0,275305000.0,271003000.0,19807000.0,412802000.0,527461000.0,24971000.0,0.0,0.0,0.0,2414662000.0,2116077000.0,1027059000.0,335677000.0,1311778000.0,1166783000.0,593298000.0,239050000.0,689335000.0,872950000.0,1102884000.0,593298000.0,571051000.0,LongTermDebtAndCapitalLeaseObligations+LongTermDebtCurrent+ShortTermBorrowings,65272369.0,dei:EntityCommonStockSharesOutstanding,2026-08-03,-3.9737171464330423,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.12152763599933697,0.22214906149172847,0.023450451878239242,0.01587436301443157,,,DepreciationAmortizationAndAccretionNet,OperatingIncomeLoss,1.499435171900256,1.946329007427962,-0.06069517577596061,10.753750537970006,0.1822335791574489,0.6014330022302712,7.336599383145818,-0.05692011687467698,0.1267893184615991,5.0,ROA+ OCF+ dROA- AKRUAL+ LEVERAGE+ CR- SAHAM+ MARGIN- ATO-,"Lantheus Holdings, Inc.",,,
LOPE,,1434588.0,TTM-4Q,2026-06-30,2026-07-30,10-Q,1142066000.0,1067673000.0,,279711000.0,,224206000.0,236510000.0,,278707000.0,298071000.0,36145000.0,0.0,342708000.0,0.0,919179000.0,1021007000.0,331456000.0,117636000.0,669509000.0,777976000.0,171060000.0,160766000.0,147333000.0,2808316000.0,249670000.0,274526000.0,0.0,tidak ada tag utang,26065037.0,dei:EntityCommonStockSharesOutstanding,2026-07-28,-6.799601905168129,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.2311180474449357,0.3097869753399862,0.06967770094401571,-0.052023170267641916,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,1.2430844848041533,1.2602892055304216,-0.056181211492094055,2.63625253285913,0.24012522609852893,,,,0.2959709553616614,6.0,ROA+ OCF+ dROA- AKRUAL+ LEVERAGE+ CR- SAHAM+ MARGIN- ATO+,"GRAND CANYON EDUCATION, INC.",,,
LOW,,60667.0,TTM-4Q,2026-07-31,2026-08-27,10-Q,90432000000.0,83613000000.0,29917000000.0,10292000000.0,12620000000.0,6643000000.0,6858000000.0,,9263000000.0,9820000000.0,2263000000.0,2692000000.0,464000000.0,0.0,55881000000.0,46614000000.0,23342000000.0,21132000000.0,-7437000000.0,-11400000000.0,3172000000.0,3957000000.0,5709000000.0,-8187000000.0,63318000000.0,3407000000.0,37556000000.0,LongTermDebtAndCapitalLeaseObligations+LongTermDebtCurrent+ShortTermBorrowings,561054019.0,dei:EntityCommonStockSharesOutstanding,2026-08-25,0.0,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.1296258354066052,,0.0815543037565929,-0.03135024788568097,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,1.3944001204275176,1.431904345290172,-0.051124445094882676,1.881302422411554,,0.33082315994338285,0.08259527715804868,2.7059429477020602,0.2919836352090609,7.0,ROA+ OCF+ dROA- AKRUAL+ LEVERAGE+ CR+ SAHAM+ MARGIN- ATO+,LOWES COMPANIES INC,,,
LPG,,1596993.0,TTM-4Q,2026-06-30,2026-08-05,10-Q,585184124.0,323200400.0,,337248553.0,408262158.0,321868854.0,48964441.0,,239800989.0,132603181.0,,126345849.0,0.0,0.0,1901829367.0,1749083305.0,719086536.0,220853561.0,1236519338.0,1034799525.0,342141482.0,0.0,0.0,495518725.0,665310029.0,342141482.0,507543957.0,LongTermDebt+ShortTermBorrowings,42782681.0,dei:EntityCommonStockSharesOutstanding,2026-07-30,0.573166217379284,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.17632240643196628,0.28342022711410025,0.8105922022373735,5.573522487472082,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,0.7450270071797628,2.708152657149706,0.0449574516692247,4.662687894026342,0.0,,,0.4051379040621247,0.16057174573038333,6.0,ROA+ OCF+ dROA+ AKRUAL- LEVERAGE+ CR- SAHAM- MARGIN+ ATO+,DORIAN LPG LTD.,,,
LPX,,60519.0,TTM-4Q,2026-06-30,2026-08-05,10-Q,2468000000.0,2881000000.0,445000000.0,74000000.0,226000000.0,54000000.0,297000000.0,18000000.0,258000000.0,514000000.0,279000000.0,0.0,0.0,0.0,2607000000.0,2656000000.0,773000000.0,240000000.0,1744000000.0,1742000000.0,228000000.0,19000000.0,0.0,1633000000.0,863000000.0,228000000.0,348000000.0,LongTermDebtAndCapitalLeaseObligations+LongTermDebtCurrent+ShortTermBorrowings,69923410.0,dei:EntityCommonStockSharesOutstanding,2026-07-31,0.0,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.020520615618468553,0.03098106712564544,-0.14335300242971194,-0.8181818181818181,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,4.777777777777778,1.7306397306397305,-0.07752232566977009,23.4955390690512,0.010894495412844037,0.18030794165316044,10.730308351284332,0.5309734513274337,0.025278404044544647,5.0,ROA+ OCF+ dROA- AKRUAL+ LEVERAGE- CR+ SAHAM+ MARGIN- ATO-,LOUISIANA-PACIFIC CORPORATION,,,
LQDA,,1819576.0,TTM-4Q,2026-06-30,2026-08-12,10-Q,450907000.0,19322000.0,,168575000.0,169992000.0,138606000.0,-149486000.0,26634000.0,167708000.0,-116055000.0,17014000.0,0.0,0.0,0.0,521918000.0,257410000.0,437708000.0,189298000.0,195114000.0,15189000.0,284181000.0,3903000.0,2845000.0,-498729000.0,326804000.0,284181000.0,,utang tidak terbaca (bunga material),89508891.0,dei:EntityCommonStockSharesOutstanding,2026-07-29,18.470930564325606,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,0.35570645479182067,1.3181552331635782,22.33645585343132,,,,DepreciationDepletionAndAmortization,OperatingIncomeLoss,1.2099620507048756,,-0.07468485669705181,18.463588833199704,0.020003690150373628,,9.529095410052252,,,6.0,ROA+ OCF+ dROA+ AKRUAL+ LEVERAGE? CR- SAHAM- MARGIN+ ATO+,LIQUIDIA     CORPORATION,,,
