Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
RUN,Sunrun,Industrials,Building Products,SP600,8.56,2.06,2026-09-11,499.0,TTM-4Q,2026-06-30,64.3,0.9,True,19.1,5.1,0.59,5.2,19.5,,2.01,0.4,12.6,,2.8,16.68,2.7,6.2,-0.5,6.0,0.05,999.0,-2.84,-39.3,-17.8,-0.35,-1.29,2.0,82.6,1.27,-60.9,-2.32,0.0,0.0,0.0,63.2,,4.9,10.24,12.83,14.3,False,22.44,8.22,0.51,38.7,-34.2,False,False,ZONA-BAHAYA,100.0
R,Ryder,Industrials,Cargo Ground Transportation,SP400,243.3,9.33,2026-09-11,499.0,TTM-4Q,2026-06-30,63.0,0.79,True,5.0,18.8,3.24,20.0,5.3,7.4,1.95,7.5,16.7,,1.7,2.19,-12.0,1.3,4.94,6.0,1.55,2.7,0.41,43.0,41.2,1.25,1.17,64.0,33.7,0.99,-17.5,0.62,1.59,6.48,8.07,1.1,-2.0,-7.0,258.63,240.15,227.66,True,284.25,157.67,5.43,38.5,-16.2,False,False,ZONA-BAHAYA,100.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,SP500,145.77,17.68,2026-09-11,499.0,TTM-4Q,2026-06-30,438.9,0.7,True,5.2,3.6,1.04,19.3,27.9,24.7,1.94,8.4,29.7,,,4.36,-7.5,0.1,3.34,6.0,0.6,999.0,-0.39,-42.9,-30.2,-0.68,-1.18,7.0,53.7,0.8,-56.4,-0.68,0.0,26.91,26.91,-1.5,-6.5,-14.4,143.35,173.56,181.03,False,285.82,111.55,7.85,48.8,1.1,False,False,ZONA-BAHAYA;GOODWILL,100.0
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,SP600,84.65,4.24,2026-09-11,499.0,TTM-4Q,2026-06-30,65.1,0.66,True,3.7,4.9,2.14,27.1,20.2,9.7,1.93,35.6,54.7,,4.3,0.43,7.2,8.8,0.65,8.0,4.37,16.9,1.23,133.8,46.4,1.55,1.24,97.0,58.1,-0.0,-26.7,-0.0,0.0,1.91,1.91,13.2,,-2.7,76.4,62.72,56.79,True,87.03,32.24,4.35,62.5,47.5,False,True,,100.0
UGI,UGI Corp,Utilities,Gas Utilities,SP400,37.99,8.15,2026-09-11,499.0,TTM-4Q,2026-06-30,96.2,0.52,True,8.3,12.1,1.56,12.1,8.2,2.3,1.91,8.9,13.3,,,3.58,-2.5,6.4,1.58,7.0,,2.7,1.12,6.5,-2.7,0.08,-0.48,54.0,24.4,0.08,-19.6,-0.08,3.95,0.26,4.21,-0.5,60.5,-0.1,36.72,36.23,36.75,True,41.34,31.62,0.81,55.8,5.5,False,False,,100.0
PRGS,Progress Software Corporation,Information Technology,Systems Software,SP600,39.92,1.64,2026-09-11,499.0,TTM-4Q,2026-05-31,19.3,0.62,True,8.8,18.4,3.24,11.4,5.4,18.6,1.9,7.8,18.6,81.8,1.6,3.69,-9.4,1.6,3.52,8.0,1.24,2.7,0.36,2.8,22.1,0.23,-0.54,56.0,53.1,0.72,-46.5,0.44,0.03,6.73,6.76,15.5,54.6,-4.2,41.48,35.23,37.0,True,47.37,23.82,1.72,39.7,22.0,False,False,ZONA-BAHAYA;GOODWILL,100.0
CNX,CNX Resources,Energy,Oil & Gas Exploration & Production,SP400,35.91,5.31,2026-09-11,499.0,TTM-4Q,2026-06-30,49.5,1.07,True,4.0,5.6,1.1,25.0,17.9,9.9,1.9,15.7,21.2,,,1.18,-1.5,9.3,1.15,8.0,1.83,8.0,-0.01,22.1,-13.1,0.16,-1.0,43.0,28.8,0.35,-24.9,0.61,0.0,10.03,10.03,61.9,509.7,-10.4,35.09,36.8,37.03,True,43.62,28.84,0.88,47.0,8.0,False,False,,100.0
UHS,Universal Health Services,Health Care,Health Care Facilities,SP500,174.83,10.47,2026-09-11,499.0,TTM-4Q,2026-06-30,109.4,0.8,True,5.6,6.9,1.39,17.7,14.6,8.1,1.89,13.0,21.0,,,1.76,-1.8,1.8,1.18,7.0,,13.1,-0.38,-7.0,-9.3,-0.25,-1.23,34.0,32.5,0.5,-42.0,0.25,0.47,10.09,10.56,10.0,21.0,-7.8,165.35,173.76,184.94,False,246.33,140.08,5.2,57.4,15.6,False,False,,100.0
GPOR,Gulfport Energy Corporation,Energy,Oil & Gas Exploration & Production,SP600,173.25,3.06,2026-09-11,499.0,TTM-4Q,2026-06-30,42.1,0.89,True,4.0,6.2,1.68,25.2,16.2,,1.89,21.0,27.7,76.3,11.6,0.92,-11.1,33.8,1.69,7.0,3.32,11.9,1.42,-1.3,-13.5,-0.22,-1.49,28.0,32.9,0.34,-32.5,0.22,0.0,0.0,0.0,35.2,,0.2,165.89,181.35,186.18,False,225.78,149.18,4.82,49.9,2.9,False,False,,100.0
G,Genpact,Industrials,Data Processing & Outsourced Services,SP400,35.14,5.9,2026-09-11,499.0,TTM-4Q,2026-06-30,88.2,0.8,True,7.5,10.1,2.27,13.3,9.9,9.7,1.85,15.5,22.4,36.5,0.3,0.76,-1.1,2.2,1.11,9.0,3.33,999.0,0.33,-19.9,-10.1,-0.39,-1.36,24.0,38.5,0.67,-42.7,0.03,2.06,0.0,2.06,6.5,8.2,-3.7,33.92,34.62,37.42,False,48.64,26.85,1.16,46.9,6.4,False,False,,100.0
DAL,Delta Air Lines,Industrials,Passenger Airlines,SP500,79.91,52.55,2026-09-11,499.0,TTM-4Q,2026-06-30,411.5,0.95,True,7.6,13.3,2.41,13.2,7.5,,1.83,12.9,20.1,,,1.02,-5.1,2.4,2.06,6.0,1.45,999.0,0.27,48.1,56.0,1.34,1.36,69.0,38.8,1.19,-22.9,0.11,0.94,0.0,0.94,10.3,-11.9,0.9,85.44,76.59,74.63,True,95.68,55.03,2.2,43.3,-5.7,False,False,ZONA-BAHAYA,100.0
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,Packaged Foods & Meats,SP600,73.98,3.47,2026-09-11,499.0,TTM-4Q,2026-05-30,73.9,0.85,True,5.4,11.0,1.32,18.6,9.1,9.5,1.82,10.4,12.2,23.1,9.6,-1.95,-5.3,16.9,1.51,6.0,7.54,999.0,-0.82,-22.7,-7.3,-0.5,-1.05,11.0,29.8,0.36,-33.7,0.0,6.67,0.0,6.67,-31.7,-74.0,-2.3,83.49,80.94,81.22,False,111.76,71.92,2.45,30.7,-10.6,False,False,,100.0
