Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment,SP400,162.38,26.28,2026-09-11,499.0,TTM-4Q,2026-06-30,389.6,0.69,True,26.0,43.9,6.59,3.8,2.3,2.2,-0.83,12.0,15.9,37.0,1.7,1.17,-1.3,2.2,1.15,6.0,6.59,999.0,-0.02,81.4,59.1,1.55,1.56,87.0,45.4,1.64,-27.4,-0.67,0.51,0.19,0.7,46.2,2.1,0.3,156.94,146.32,136.56,True,184.64,93.22,7.02,55.1,-4.7,False,True,,100.0
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,SP500,259.47,103.53,2026-09-11,499.0,TTM-4Q,2026-06-30,678.4,0.94,True,,14.6,3.29,,6.9,,-0.02,,24.0,13.1,1.8,,-2.3,5.2,1.26,9.0,,999.0,-0.9,75.8,30.5,1.73,1.54,96.0,30.8,0.57,-17.3,0.62,1.92,0.97,2.89,14.4,312.9,-1.3,221.28,187.13,174.89,True,265.43,126.74,6.84,74.4,40.6,False,True,,100.0
CORT,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,SP600,112.79,12.19,2026-09-11,499.0,TTM-4Q,2026-06-30,95.6,1.62,True,1470.1,220.9,17.28,0.1,0.5,0.9,-0.79,1.0,8.2,98.3,,-38.12,-6.5,3.6,1.99,6.0,42.37,999.0,2.59,56.6,246.3,1.6,1.51,97.0,94.8,0.41,-64.4,-1.84,0.0,0.35,0.35,16.0,-58.7,-1.7,106.21,69.89,67.58,True,126.38,28.66,4.93,50.9,30.8,False,True,,100.0
PBF,PBF Energy,Energy,Oil & Gas Refining & Marketing,SP400,78.3,9.48,2026-09-11,499.0,TTM-4Q,2026-06-30,193.5,1.14,True,4.5,7.0,1.48,22.4,14.3,7.8,1.31,18.8,23.5,3.9,4.5,0.37,-2.2,10.3,1.22,8.0,3.99,11.3,-0.11,155.2,65.0,1.7,1.5,99.0,64.8,0.47,-34.9,-0.97,1.34,0.0,1.34,13.5,,5.5,66.42,49.77,45.09,True,82.61,25.62,3.93,64.3,83.8,True,True,DILUSI,100.0
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,SP600,165.37,4.85,2026-09-11,499.0,TTM-4Q,2026-06-30,37.4,1.1,True,11.9,23.1,3.02,8.4,4.3,8.2,0.56,9.2,13.1,22.1,2.4,2.21,-2.1,1.3,2.01,7.0,1.49,4.1,-0.72,23.1,89.3,1.27,1.49,96.0,44.4,1.36,-50.1,-1.06,0.0,4.64,4.64,2.7,40.6,-6.1,137.67,104.25,99.09,True,165.79,63.62,5.36,69.4,44.4,True,True,ZONA-BAHAYA,100.0
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,SP600,51.09,5.08,2026-09-11,499.0,TTM-4Q,2026-06-30,45.7,1.33,True,12.2,14.5,4.37,8.2,6.9,4.4,-0.3,19.9,34.9,19.8,2.3,-0.36,1.3,5.6,0.91,7.0,4.88,8.3,0.13,108.8,44.0,1.69,1.48,95.0,45.1,0.88,-15.3,-0.05,0.0,0.59,0.59,3.8,73.2,-0.6,48.16,40.54,37.06,True,54.25,22.02,1.94,53.5,23.9,False,True,,100.0
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SP500,88.29,379.87,2026-09-11,499.0,TTM-4Q,2026-04-03,1289.4,0.69,True,26.6,27.7,11.29,3.8,3.6,3.3,-0.81,15.4,45.8,61.7,1.2,2.14,-0.9,0.9,1.07,8.0,5.45,8.8,0.55,31.5,13.2,1.2,1.47,71.0,18.6,0.12,-7.9,1.42,2.89,0.14,3.03,5.1,27.0,0.0,86.55,81.24,78.77,True,92.49,65.35,1.35,51.5,3.3,False,True,,100.0
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services,SP400,206.45,31.17,2026-09-11,499.0,TTM-4Q,2026-06-28,383.8,1.39,True,27.7,37.8,10.98,3.6,2.6,3.0,-0.27,15.8,32.4,66.4,2.8,0.71,-4.2,16.1,1.33,6.0,6.24,8.9,0.22,102.0,66.9,1.78,1.42,95.0,47.3,1.1,-25.7,-0.23,0.0,1.61,1.61,4.9,-34.4,-2.5,200.3,158.7,153.57,True,231.81,88.0,8.62,49.6,19.9,False,True,,90.0
WSFS,WSFS Financial Corporation,Financials,Regional Banks,SP600,79.73,4.07,2026-09-11,499.0,TTM-4Q,2026-06-30,25.4,1.06,True,,12.7,1.5,,7.9,,0.06,,11.9,,,,,0.2,,,,999.0,-0.18,45.7,29.7,1.65,1.41,81.0,22.9,0.8,-11.5,0.78,0.94,7.67,8.61,,20.0,-8.6,79.49,72.7,69.07,True,82.94,49.92,1.36,53.1,3.5,False,True,,90.0
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,SP600,69.54,4.85,2026-09-11,499.0,TTM-4Q,2026-06-30,44.9,0.95,True,12.5,29.7,3.91,8.0,3.4,,-0.75,13.9,13.7,33.2,1.2,-1.02,-9.2,2.5,2.25,5.0,4.88,999.0,0.64,76.2,57.8,1.55,1.4,91.0,43.3,1.33,-23.3,-0.74,0.81,0.17,0.98,21.8,-9.8,,63.37,57.26,55.23,True,74.07,33.2,2.28,54.4,14.6,False,True,,100.0
CRWD,CrowdStrike,Information Technology,Systems Software,SP500;NDX,206.74,211.69,2026-09-11,499.0,TTM-4Q,2026-07-31,2180.6,0.64,True,,3621.1,41.49,,0.0,0.8,-0.77,-2.3,1.3,75.2,0.8,,-18.4,3.1,34.5,6.0,18.97,-4.5,0.52,108.8,100.9,1.97,1.4,94.0,53.2,1.61,-37.2,0.08,0.0,0.0,0.0,24.3,,4.5,202.58,152.57,144.12,True,233.88,85.68,11.32,50.0,15.4,False,True,,100.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,SP400,66.65,13.57,2026-09-11,499.0,TTM-4Q,2026-06-30,115.8,0.84,True,12.5,32.7,2.41,8.0,3.1,8.9,-0.07,4.9,7.2,19.5,0.3,2.77,-9.2,1.3,4.16,8.0,3.23,7.4,-0.49,61.0,31.5,1.17,1.39,79.0,39.6,0.66,-23.8,0.76,1.03,4.79,5.82,2.2,97.6,-5.5,65.22,62.09,58.08,True,78.82,40.5,1.91,53.0,-14.0,False,True,,100.0
BFH,"Bread Financial Holdings, Inc.",Financials,Consumer Finance,SP600,106.37,4.09,2026-09-11,499.0,TTM-4Q,2026-06-30,46.4,1.28,True,,7.2,1.21,,13.9,,1.48,,17.4,,,,,1.0,,,,999.0,-0.06,74.0,54.5,1.6,1.38,87.0,40.1,1.41,-16.1,-0.69,0.95,13.68,14.63,3.9,99.0,-13.8,105.56,91.21,86.74,True,114.53,53.83,3.67,48.6,1.0,False,True,,90.0
AVT,Avnet,Information Technology,Technology Distributors,SP400,99.63,8.18,2026-09-11,499.0,TTM-4Q,2026-06-27,103.5,1.83,True,14.0,24.5,1.63,7.1,4.1,-4.3,0.0,6.5,6.7,10.4,0.7,3.81,4.5,2.1,-0.84,5.0,3.19,2.9,-1.67,84.6,62.1,2.04,1.36,95.0,35.9,1.11,-17.5,1.46,1.4,1.69,3.09,24.5,39.2,-4.6,89.84,79.89,72.74,True,100.0,44.25,3.47,66.8,8.7,True,True,,100.0
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,SP400,76.34,29.94,2026-09-11,499.0,TTM-4Q,2026-06-30,203.1,0.97,True,14.0,25.5,9.15,7.1,3.9,5.2,-0.54,34.2,36.0,,37.5,-0.28,-6.7,4.6,1.58,8.0,3.63,25.9,0.92,84.6,20.6,1.66,1.35,90.0,31.6,0.79,-16.4,0.41,0.27,3.68,3.95,9.9,29.1,-3.8,74.28,70.45,65.06,True,80.7,35.29,2.4,50.1,4.4,False,True,,100.0
TMP,Tompkins Financial Corporation,Financials,Regional Banks,SP600,98.83,1.42,2026-09-11,499.0,TTM-4Q,2026-06-30,10.3,0.73,True,,8.1,1.48,,12.3,,0.96,,20.4,,,,,0.6,,,,999.0,0.05,50.0,36.9,1.58,1.33,82.0,27.6,0.69,-13.0,0.63,2.64,0.0,2.64,,120.7,0.1,97.19,87.99,84.68,True,102.59,61.88,2.15,53.6,4.6,False,True,,90.0
MET,MetLife,Financials,Life & Health Insurance,SP500,97.14,61.73,2026-09-11,499.0,TTM-4Q,2026-06-30,273.8,0.94,True,,17.0,2.25,,5.9,,-0.42,,13.2,,,,,0.2,,,,999.0,-0.27,25.5,42.5,1.43,1.3,79.0,23.8,0.95,-17.5,0.38,2.44,3.95,6.39,8.7,-15.4,-4.2,95.16,83.61,82.38,True,100.93,67.33,1.84,54.4,7.1,False,True,,90.0
